season,tea_kind,code,replication,polyphenol,FAA,Theanine,caffeine,Gallic Acid,C,GC,EGC,EC,EGCG,GCG,ECG,total_catechins,sample_label
5th,fresh leaves,DP,1,83.25961082,8.363412032,2.731577867,13.14086302,0.909354474,0.79470942,9.351222527,18.95939212,3.896971556,39.69995225,3.779057791,7.835167464,84.31647313,2
5th,fresh leaves,DP,2,83.23284728,10.15234311,2.797391357,13.22864318,0.914850831,0.796500403,9.50232845,19.23281134,3.943004728,40.43750476,3.879115428,7.969065415,85.76033052,2
5th,fresh leaves,DP,1,80.94517502,11.5484079,3.410415987,14.19022722,0.804875631,0.710396115,10.39323512,19.15956504,3.661151994,39.21793238,3.750765008,7.482931571,84.37597722,3
5th,fresh leaves,DP,2,78.71076592,10.7372438,3.393125688,14.05247314,0.802796336,0.741507492,10.37947881,19.15676356,3.570821217,36.49030425,3.475426391,6.918625937,80.73292766,3
5th,fresh leaves,T8,1,108.7638171,15.87587301,5.863937105,22.47490041,1.368638521,0.80455806,7.818879075,14.22198666,2.291966961,57.1606846,4.72772246,9.231021692,96.25681951,1
5th,fresh leaves,T8,2,110.9487343,11.0243139,5.765492821,22.41362969,1.360598836,0.808198102,7.888407754,14.31830353,2.227597352,59.43469679,5.028754507,9.865982708,99.57194074,1
5th,fresh leaves,T8,1,91.97150983,17.27947532,5.410933002,21.15341849,1.54022498,0.816240608,7.592236133,17.95240785,2.278951378,56.79775869,4.882977397,9.490782211,99.81135427,2
5th,fresh leaves,T8,2,108.5626409,15.58847313,5.331799524,20.99289935,1.536965296,0.828765309,7.623923522,18.23294065,2.156623552,52.37919853,4.355186127,8.369120419,93.94575811,2
5th,fresh leaves,T8,1,113.2310678,17.56474058,4.834275305,22.53310479,1.117276709,0.929134241,8.134284253,16.44793727,2.576176332,60.40998139,4.974130607,9.508633048,102.9802771,3
5th,fresh leaves,T8,2,116.5123142,15.03953473,4.988521084,22.73248016,1.134909738,0.910735872,8.242564657,16.50099426,2.540345256,62.18802778,5.153741437,9.959673939,105.4960832,3
5th,fresh leaves,T12,1,72.67023849,15.73829031,5.442630148,13.32092813,0.835945654,0.289812721,6.343882952,19.82483525,4.267596023,27.37168995,3.230599942,6.248675288,67.57709213,1
5th,fresh leaves,T12,2,67.1583572,15.93363891,5.439897367,11.66779563,0.724342898,0.291997139,5.402832531,16.99834974,3.68137607,23.21710714,2.590910088,5.431809242,57.61438195,1
5th,fresh leaves,T12,1,73.08559063,12.39714269,5.346148736,14.26999332,0.851072976,0.292097947,6.209910433,20.37684005,4.012982851,29.51998829,3.185857172,6.50812182,70.10579856,2
5th,fresh leaves,T12,2,75.1488661,16.65188773,5.258913453,13.73103045,0.790549015,0.291007879,6.038329588,19.4460029,4.027871259,28.21790721,3.221432538,6.265702038,67.50825341,2
5th,fresh leaves,T12,1,68.83025141,14.88336865,4.422974379,12.38263224,0.872629166,0.295465709,4.827612499,15.41662187,3.344196759,25.20186233,2.872020184,5.935839037,57.89361838,3
5th,fresh leaves,T12,2,75.70204055,13.75684923,4.465549337,13.39125907,0.942810559,0.293886939,5.223610408,17.08554178,3.698372992,27.79008573,3.066182376,6.408825863,63.56650609,3
5th,fresh leaves,T18,1,135.4656057,15.01541605,8.719552461,28.37576286,1.768683742,2.218699238,13.8047445,20.07077237,5.59796873,64.21219853,7.245632906,14.21737787,127.3673941,1
5th,fresh leaves,T18,2,129.8536543,15.54246151,8.597628268,28.08016113,1.76627789,2.182983766,13.56247271,19.76577631,5.469204608,60.41454133,6.766496865,13.19331967,121.3547953,1
5th,fresh leaves,T18,1,131.7279623,11.34212279,9.370296746,27.11248102,1.609036031,2.11685223,13.60742297,19.3260609,5.158109448,59.74235452,6.666535124,12.5776282,119.1949634,2
5th,fresh leaves,T18,2,132.5964067,13.35822846,9.256760064,27.39094603,1.612062853,2.163386711,13.64333792,19.57079084,5.316619265,63.66256458,7.203390893,13.74304887,125.3031391,2
