year,season,tea_kind,code,sample_label,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
108,5th,black tea,T12,1,32.69203078,14.89293619,3.16050067,6.634528599,1.052006284,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,T12,2,33.07332372,14.37212158,3.082189636,6.825994313,1.061560058,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,T12,3,31.047386,10.97715775,2.358304869,6.375698954,1.042306128,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,DP,1,34.58731464,11.28393385,2.332583558,8.069349962,1.062646641,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,DP,2,34.24303219,10.73276874,2.372183501,8.025317292,1.075747794,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,DP,3,34.83836481,11.65844842,2.305373437,7.929914501,1.037001624,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,T8,1,62.78379748,19.78316658,4.977186083,13.07693824,1.994038422,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,T8,2,64.72906212,20.32283764,5.111439387,13.42076599,2.057285116,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,black tea,T8,3,72.26516885,19.7572989,4.29145893,14.04414235,2.304652895,NA,NA,NA,NA,NA,NA,NA,NA,0
108,5th,green tea,T18,1,160.749351,16.58714734,5.759586373,17.80852312,0.445754366,0.939406825,6.576940359,10.71905158,2.847208279,34.64505469,3.569901313,8.898040865,NA,68.19560391
108,5th,green tea,T18,2,155.356757,13.25548552,6.771219612,17.61666375,0.420372166,1.156237752,7.229629979,12.00380873,3.23789432,35.65250319,3.571566096,9.118533207,NA,71.97017328
108,5th,green tea,T18,3,156.8013902,15.73978645,5.901158521,18.19864995,0.472878221,1.143146679,7.366414365,12.95248667,3.274562755,38.2792118,3.963695514,9.963380881,NA,76.94289866
108,6th,fresh leaves,DP,1,81.95123998,9.752311633,3.509571413,16.98473196,0.89625369,0.291358433,6.580922974,24.14367659,4.690060272,33.45809599,3.562634288,6.980862289,NA,79.70761083
108,6th,fresh leaves,DP,2,78.77232638,8.280533526,4.164275663,16.00098049,0.839430438,0.290926555,6.672989182,22.0952834,4.896846945,32.02747287,3.173788579,6.744471645,NA,75.90177916
108,6th,fresh leaves,DP,3,79.05296499,8.07882684,3.571998336,16.79069998,0.864580761,0.292199281,6.669015398,22.52231817,4.263460602,32.64955065,3.450379999,6.951665342,NA,76.79858944
108,6th,fresh leaves,T8,1,109.2067971,13.24640089,9.130083656,26.65546697,1.315277356,0.30159826,8.384863882,18.67502404,2.865141994,53.59991431,4.722739251,10.44840421,NA,98.99768595
108,6th,fresh leaves,T8,2,110.2191573,16.14032918,9.533908137,26.73077729,1.506717752,0.301473057,8.696307836,17.84732083,2.608121796,52.11415367,4.928501044,10.09165604,NA,96.58753427
108,6th,fresh leaves,T8,3,109.8337647,13.94725828,9.704521449,28.0905301,1.441002037,0.298240546,8.820244941,19.09224725,2.976522494,55.36291942,4.995289465,10.62773625,NA,102.1732004
108,6th,fresh leaves,T12,1,78.03227347,10.34917299,2.919521161,12.85177752,0.777718479,0.286862757,6.462924033,24.29247919,3.970041475,31.07741881,3.228214872,6.32557262,NA,75.64351375
108,6th,fresh leaves,T12,2,76.48714866,8.155433313,2.683822685,12.4897038,0.622484061,0.286364377,6.528020378,23.75282431,4.089296818,29.43744431,2.97405081,5.947756208,NA,73.01575721
108,6th,fresh leaves,T12,3,86.17416203,8.57552051,2.71990542,12.63120684,0.708437717,0.284676644,7.326359796,27.20833402,3.970424314,32.81426968,3.141341096,6.607823625,NA,81.35322917
108,6th,fresh leaves,T17,1,193.1712369,8.713110274,3.704709241,17.59100404,1.184194973,0.282043821,7.492156974,29.35923574,6.11700514,37.76742469,4.08506823,10.0905863,NA,95.1935209
108,6th,fresh leaves,T17,2,215.0621752,9.068187956,6.17831179,20.30638396,1.139366991,0.280254101,9.85563143,29.81450375,7.382805395,42.05828774,4.432937883,10.9106368,NA,104.7350571
108,6th,fresh leaves,T17,3,191.4514207,10.9689452,5.588443128,20.88504284,1.30407439,0.281312896,7.668021894,29.03897564,6.003332487,37.79197462,3.904896387,10.1083315,NA,94.79684542
108,6th,black tea,DP,1,42.40026126,7.193011353,2.132382502,17.55023316,2.912389677,0,0,0,0,0,0,3.741270533,NA,3.741270533
108,6th,black tea,DP,2,44.07038885,8.861785786,2.390864448,19.18518731,2.617828056,0,0,0,0,0,0,3.668271024,NA,3.668271024
