year,season,date,location,cultivar,sample_label,replication,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100
108,3rd,43635,6-3、6-4,T12,3,23,57,20.3,7,2.9,0,165.5
108,3rd,43635,6-3、6-4,T12,3,24,57,17.7,6,2.95,0,165.5
108,3rd,43635,6-3、6-4,T12,3,25,57,19.7,7,2.814285714,0,165.5
108,3rd,43635,6-3、6-4,T12,3,26,57,4.3,3,1.433333333,0,165.5
108,3rd,43635,6-3、6-4,T12,3,27,57,9.5,5,1.9,0,165.5
108,3rd,43635,6-3、6-4,T12,3,28,57,24,7,3.428571429,0,165.5
108,3rd,43635,6-3、6-4,T12,3,29,57,15.8,7,2.257142857,0,165.5
108,3rd,43635,6-3、6-4,T12,3,30,57,7.5,5,1.5,0,165.5
108,3rd,43640,3-2、3-3,T17,3,1,58,9.8,8,1.225,1,107.5
108,3rd,43640,3-2、3-3,T17,3,2,58,4.2,4,1.05,1,107.5
108,3rd,43640,3-2、3-3,T17,3,3,58,10.8,7,1.542857143,0,107.5
108,3rd,43640,3-2、3-3,T17,3,4,58,5.6,5,1.12,1,107.5
108,3rd,43640,3-2、3-3,T17,3,5,58,7.5,5,1.5,1,107.5
108,3rd,43640,3-2、3-3,T17,3,6,58,6.5,5,1.3,1,107.5
108,3rd,43640,3-2、3-3,T17,3,7,58,5.9,5,1.18,1,107.5
108,3rd,43640,3-2、3-3,T17,3,8,58,4.4,8,0.55,1,107.5
108,3rd,43640,3-2、3-3,T17,3,9,58,10.9,6,1.816666667,0,107.5
108,3rd,43640,3-2、3-3,T17,3,10,58,6.9,5,1.38,1,107.5
108,3rd,43640,3-2、3-3,T17,1,11,58,3.3,5,0.66,1,105
108,3rd,43640,3-2、3-3,T17,1,12,58,7.7,5,1.54,0,105
108,3rd,43640,3-2、3-3,T17,1,13,58,9.5,8,1.1875,0,105
108,3rd,43640,3-2、3-3,T17,1,14,58,1.1,2,0.55,1,105
108,3rd,43640,3-2、3-3,T17,1,15,58,8.7,7,1.242857143,0,105
108,3rd,43640,3-2、3-3,T17,1,16,58,6.7,5,1.34,0,105
108,3rd,43640,3-2、3-3,T17,1,17,58,4.6,4,1.15,1,105
108,3rd,43640,3-2、3-3,T17,1,18,58,12.1,7,1.728571429,0,105
108,3rd,43640,3-2、3-3,T17,1,19,58,4.6,4,1.15,1,105
108,3rd,43640,3-2、3-3,T17,1,20,58,2.2,3,0.733333333,1,105
108,3rd,43640,3-2、3-3,T17,2,21,58,7.4,6,1.233333333,1,84.3
108,3rd,43640,3-2、3-3,T17,2,22,58,6.6,7,0.942857143,0,84.3
108,3rd,43640,3-2、3-3,T17,2,23,58,10,7,1.428571429,1,84.3
108,3rd,43640,3-2、3-3,T17,2,24,58,5.7,7,0.814285714,1,84.3
108,3rd,43640,3-2、3-3,T17,2,25,58,8.8,7,1.257142857,0,84.3
108,3rd,43640,3-2、3-3,T17,2,26,58,3,4,0.75,1,84.3
108,3rd,43640,3-2、3-3,T17,2,27,58,4.1,5,0.82,1,84.3
108,3rd,43640,3-2、3-3,T17,2,28,58,5,5,1,1,84.3
108,3rd,43640,3-2、3-3,T17,2,29,58,1.1,3,0.366666667,1,84.3
108,3rd,43640,3-2、3-3,T17,2,30,58,4.7,5,0.94,1,84.3
108,3rd,43663,23區,T18,1,1,64,11.9,5,2.38,0,163.7
108,3rd,43663,23區,T18,1,2,64,6.4,4,1.6,1,163.7
108,3rd,43663,23區,T18,1,3,64,3.1,3,1.033333333,1,163.7
108,3rd,43663,23區,T18,1,4,64,19.5,6,3.25,0,163.7
108,3rd,43663,23區,T18,1,5,64,10,4,2.5,0,163.7
108,3rd,43663,23區,T18,1,6,64,1.3,2,0.65,1,163.7
108,3rd,43663,23區,T18,1,7,64,4.9,3,1.633333333,0,163.7
108,3rd,43663,23區,T18,1,8,64,13.4,5,2.68,0,163.7
108,3rd,43663,23區,T18,1,9,64,11.2,5,2.24,1,163.7
108,3rd,43663,23區,T18,1,10,64,12.4,5,2.48,1,163.7
108,3rd,43663,23區,T18,2,11,64,10,5,2,1,177.5
108,3rd,43663,23區,T18,2,12,64,5.9,3,1.966666667,1,177.5
108,3rd,43663,23區,T18,2,13,64,11,5,2.2,1,177.5
108,3rd,43663,23區,T18,2,14,64,6.3,4,1.575,1,177.5
108,3rd,43663,23區,T18,2,15,64,8.9,4,2.225,1,177.5
108,3rd,43663,23區,T18,2,16,64,12.2,5,2.44,1,177.5
108,3rd,43663,23區,T18,2,17,64,18.7,6,3.116666667,0,177.5
108,3rd,43663,23區,T18,2,18,64,12.2,5,2.44,1,177.5
108,3rd,43663,23區,T18,2,19,64,8.4,4,2.1,1,177.5
108,3rd,43663,23區,T18,2,20,64,9.7,5,1.94,0,177.5
108,3rd,43663,23區,T18,3,21,64,2.5,2,1.25,1,159.6
108,3rd,43663,23區,T18,3,22,64,10.2,5,2.04,1,159.6
108,3rd,43663,23區,T18,3,23,64,1,2,0.5,1,159.6
108,3rd,43663,23區,T18,3,24,64,1.4,2,0.7,1,159.6
108,3rd,43663,23區,T18,3,25,64,12.1,5,2.42,1,159.6
108,3rd,43663,23區,T18,3,26,64,15.2,5,3.04,0,159.6
108,3rd,43663,23區,T18,3,27,64,6.8,4,1.7,1,159.6
108,3rd,43663,23區,T18,3,28,64,9.1,4,2.275,1,159.6
108,3rd,43663,23區,T18,3,29,64,4.9,4,1.225,1,159.6
108,3rd,43663,23區,T18,3,30,64,12.2,5,2.44,0,159.6
108,3rd,43647,11月1日,T20,1,1,57,7.5,4,1.875,1,118.7
108,3rd,43647,11月1日,T20,1,2,57,3,3,1,1,118.7
108,3rd,43647,11月1日,T20,1,3,57,17.8,6,2.966666667,0,118.7
108,3rd,43647,11月1日,T20,1,4,57,6,4,1.5,1,118.7
108,3rd,43647,11月1日,T20,1,5,57,9.6,4,2.4,0,118.7
108,3rd,43647,11月1日,T20,1,6,57,2.2,2,1.1,1,118.7
108,3rd,43647,11月1日,T20,1,7,57,7.6,4,1.9,0,118.7
108,3rd,43647,11月1日,T20,1,8,57,4.5,3,1.5,1,118.7
108,3rd,43647,11月1日,T20,1,9,57,5,3,1.666666667,1,118.7
108,3rd,43647,11月1日,T20,1,10,57,16.3,5,3.26,0,118.7
108,3rd,43647,11月1日,T20,2,11,57,14.4,6,2.4,0,109.7
108,3rd,43647,11月1日,T20,2,12,57,2.2,4,0.55,1,109.7
108,3rd,43647,11月1日,T20,2,13,57,5.5,4,1.375,1,109.7
108,3rd,43647,11月1日,T20,2,14,57,12.9,5,2.58,0,109.7
108,3rd,43647,11月1日,T20,2,15,57,15.7,6,2.616666667,0,109.7
108,3rd,43647,11月1日,T20,2,16,57,9.4,4,2.35,1,109.7
108,3rd,43647,11月1日,T20,2,17,57,14.2,6,2.366666667,0,109.7
108,3rd,43647,11月1日,T20,2,18,57,4.8,3,1.6,0,109.7
108,3rd,43647,11月1日,T20,2,19,57,7.6,4,1.9,1,109.7
108,3rd,43647,11月1日,T20,2,20,57,8.1,4,2.025,0,109.7
108,3rd,43647,11月1日,T20,3,21,57,11.7,5,2.34,0,107.1
108,3rd,43647,11月1日,T20,3,22,57,10.5,4,2.625,1,107.1
108,3rd,43647,11月1日,T20,3,23,57,4,4,1,0,107.1
108,3rd,43647,11月1日,T20,3,24,57,14.9,6,2.483333333,0,107.1
108,3rd,43647,11月1日,T20,3,25,57,5.7,4,1.425,1,107.1
108,3rd,43647,11月1日,T20,3,26,57,5.7,4,1.425,1,107.1
108,3rd,43647,11月1日,T20,3,27,57,13.5,5,2.7,0,107.1
